,ID,PAY_APRIL,PAY_FEBRUARY,PAY_JANUARY,PAY_JUNE,PAY_MARCH,PAY_MAY,BILL_AMT_APRIL,BILL_AMT_FEBRUARY,BILL_AMT_JANUARY,BILL_AMT_JUNE,BILL_AMT_MARCH,BILL_AMT_MAY,PAY_AMT_APRIL,PAY_AMT_FEBRUARY,PAY_AMT_JANUARY,PAY_AMT_JUNE,PAY_AMT_MARCH,PAY_AMT_MAY,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,DEFAULT_JULY
0,0,0.0,-1.0,0.0,-1.0,0.0,0.0,13600.0,44024.0,18697.0,28991.0,0.0,24391.0,0.0,680.0,10000.0,1300.0,22373.0,1000.0,40000.0,2,2,2,26,0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,53169.0,50372.0,49470.0,75662.0,50875.0,70073.0,2000.0,1903.0,2006.0,3212.0,1603.0,2106.0,80000.0,2,3,1,59,0
2,2,2.0,2.0,2.0,2.0,2.0,2.0,161487.0,168094.0,170922.0,155910.0,157577.0,158819.0,0.0,5500.0,1000.0,6800.0,13000.0,6500.0,170000.0,2,1,2,30,1
3,3,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,23570.0,0.0,735.0,0.0,0.0,0.0,742.0,0.0,0.0,200000.0,2,2,1,41,1
4,4,0.0,0.0,0.0,0.0,0.0,0.0,9044.0,9417.0,9617.0,8214.0,9225.0,8034.0,331.0,356.0,330.0,1140.0,341.0,1150.0,50000.0,1,2,1,43,0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,44412.0,35704.0,36524.0,50840.0,45402.0,49592.0,1837.0,1254.0,1387.0,2100.0,1139.0,1847.0,60000.0,2,2,2,24,0
6,6,0.0,0.0,0.0,0.0,0.0,0.0,21746.0,18461.0,18830.0,25234.0,18082.0,23518.0,700.0,676.0,700.0,1384.0,670.0,1300.0,50000.0,2,2,1,37,0
7,7,0.0,0.0,0.0,0.0,0.0,0.0,125427.0,127323.0,130020.0,132586.0,128016.0,135165.0,4600.0,4800.0,4500.0,4800.0,4800.0,4500.0,140000.0,2,3,1,46,0
8,9,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,2,1,2,30,0
9,10,2.0,2.0,2.0,2.0,3.0,2.0,48953.0,49318.0,51143.0,46004.0,48851.0,45976.0,1000.0,2800.0,0.0,1000.0,1400.0,4035.0,50000.0,1,3,2,37,1
10,11,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,390.0,390.0,0.0,390.0,390.0,390.0,390.0,0.0,780.0,390.0,390.0,390.0,20000.0,2,2,1,28,1
11,12,0.0,0.0,0.0,0.0,0.0,0.0,9232.0,9501.0,9729.0,7199.0,9266.0,8275.0,300.0,350.0,300.0,1350.0,350.0,1270.0,10000.0,2,2,2,24,1
12,13,2.0,0.0,0.0,2.0,0.0,2.0,17637.0,18091.0,18750.0,47927.0,17680.0,50421.0,633.0,1000.0,1000.0,4090.0,696.0,0.0,50000.0,2,1,1,54,1
13,14,0.0,0.0,0.0,0.0,0.0,0.0,193898.0,160482.0,132870.0,208835.0,180759.0,202673.0,11609.0,5059.0,5014.0,7313.0,5609.0,7157.0,200000.0,1,2,1,37,0
14,15,2.0,0.0,0.0,0.0,2.0,0.0,18446.0,18236.0,20524.0,15416.0,17852.0,17392.0,0.0,2602.0,2000.0,2233.0,672.0,1639.0,50000.0,2,1,2,29,0
15,16,0.0,0.0,0.0,0.0,0.0,0.0,47206.0,19008.0,19687.0,48406.0,19189.0,49880.0,678.0,1000.0,687.0,2286.0,695.0,1302.0,50000.0,1,2,2,45,1
16,17,0.0,0.0,0.0,0.0,0.0,0.0,34090.0,36829.0,37727.0,40441.0,34894.0,40937.0,2000.0,2000.0,2000.0,5000.0,3000.0,2000.0,170000.0,1,3,1,45,0
17,18,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,14472.0,0.0,680.0,0.0,0.0,0.0,680.0,0.0,0.0,210000.0,2,1,1,40,0
18,21,2.0,2.0,2.0,1.0,2.0,2.0,24053.0,25977.0,25413.0,24022.0,25624.0,24744.0,1967.0,0.0,1100.0,1396.0,903.0,0.0,30000.0,2,1,2,34,1
19,22,0.0,0.0,0.0,0.0,0.0,0.0,28481.0,26691.0,26329.0,33703.0,27634.0,30857.0,1400.0,1500.0,1500.0,1800.0,915.0,1800.0,50000.0,2,2,2,25,0
20,25,0.0,0.0,2.0,0.0,0.0,0.0,115874.0,111553.0,108434.0,112878.0,111346.0,118601.0,4500.0,0.0,4000.0,8000.0,11781.0,5014.0,160000.0,2,2,2,31,0
21,27,0.0,0.0,2.0,0.0,0.0,0.0,18255.0,19715.0,19250.0,16208.0,18468.0,16942.0,813.0,0.0,831.0,1300.0,1700.0,1600.0,20000.0,2,3,1,41,0
22,28,0.0,-2.0,-2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,35755.0,0.0,72000.0,0.0,0.0,11621.0,40000.0,0.0,0.0,500000.0,1,1,1,44,0
23,29,0.0,0.0,0.0,0.0,0.0,0.0,75576.0,74431.0,68399.0,84148.0,75266.0,79847.0,5006.0,3014.0,4007.0,5006.0,4003.0,4007.0,90000.0,2,2,1,24,0
24,30,0.0,0.0,0.0,0.0,0.0,0.0,78232.0,70987.0,75835.0,98843.0,69426.0,92820.0,3000.0,7000.0,3000.0,3200.0,3500.0,3500.0,110000.0,2,2,2,24,0
25,33,0.0,0.0,0.0,0.0,0.0,0.0,86360.0,30834.0,50585.0,88805.0,67145.0,86939.0,3000.0,42200.0,1900.0,3500.0,2500.0,4000.0,90000.0,1,1,1,41,0
26,34,0.0,0.0,0.0,0.0,0.0,0.0,104462.0,44434.0,45251.0,100448.0,43810.0,103990.0,1810.0,2000.0,1665.0,5450.0,1765.0,4200.0,140000.0,2,3,2,23,0
27,35,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,4997.0,0.0,0.0,37137.0,0.0,51803.0,0.0,0.0,0.0,51811.0,0.0,9544.0,250000.0,2,2,1,41,0
28,36,0.0,0.0,2.0,0.0,0.0,0.0,118405.0,106300.0,104433.0,120290.0,99081.0,116082.0,4000.0,0.0,5000.0,6000.0,9000.0,6000.0,120000.0,2,1,1,51,0
29,37,0.0,0.0,0.0,0.0,0.0,0.0,238314.0,186841.0,189010.0,243742.0,219634.0,237204.0,14044.0,5855.0,5254.0,8017.0,5410.0,8117.0,260000.0,2,2,1,32,0
30,39,0.0,0.0,0.0,0.0,0.0,0.0,19917.0,20146.0,20221.0,18922.0,20017.0,19486.0,680.0,728.0,690.0,1329.0,705.0,1310.0,50000.0,1,2,2,53,0
31,40,-1.0,0.0,0.0,2.0,-1.0,2.0,836.0,1672.0,836.0,7123.0,2508.0,6848.0,2508.0,0.0,563.0,836.0,0.0,836.0,240000.0,1,2,1,38,1
32,41,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,56729.0,6734.0,87161.0,7990.0,-1310.0,13450.0,0.0,87161.0,5000.0,13450.0,8044.0,56729.0,230000.0,2,1,2,33,0
33,42,0.0,0.0,0.0,0.0,2.0,0.0,109443.0,106665.0,92417.0,107336.0,106637.0,107195.0,4000.0,3500.0,9500.0,5320.0,4000.0,7845.0,110000.0,2,1,2,29,0
